Date,Close
1/4/2021 16:00:00,11.01
1/5/2021 16:00:00,13.59
1/6/2021 16:00:00,16.96
1/7/2021 16:00:00,22.36
1/8/2021 16:00:00,26.39
1/11/2021 16:00:00,23.36
1/12/2021 16:00:00,26.15
1/13/2021 16:00:00,23
1/14/2021 16:00:00,24.44
1/15/2021 16:00:00,22.39
1/19/2021 16:00:00,22.35
1/20/2021 16:00:00,19.27
1/21/2021 16:00:00,17.56
1/22/2021 16:00:00,18.3
1/25/2021 16:00:00,18.22
1/26/2021 16:00:00,18.6
1/27/2021 16:00:00,17.65
1/28/2021 16:00:00,19.9
1/29/2021 16:00:00,20.74
2/1/2021 16:00:00,20.74
2/2/2021 16:00:00,22.74
2/3/2021 16:00:00,23.67
2/4/2021 16:00:00,22.8
2/5/2021 16:00:00,22.52
2/8/2021 16:00:00,32.07
2/9/2021 16:00:00,37.59
2/10/2021 16:00:00,34.01
2/11/2021 16:00:00,37.27
2/12/2021 16:00:00,38.46
2/16/2021 16:00:00,43.56
2/17/2021 16:00:00,47.9
2/18/2021 16:00:00,40.98
2/19/2021 16:00:00,43.27
2/22/2021 16:00:00,37.11
2/23/2021 16:00:00,28.56
2/24/2021 16:00:00,33.41
2/25/2021 16:00:00,30.63
2/26/2021 16:00:00,30.15
3/1/2021 16:00:00,38.5
3/2/2021 16:00:00,34.89
3/3/2021 16:00:00,36.62
3/4/2021 16:00:00,32.01
3/5/2021 16:00:00,30.03
3/8/2021 16:00:00,28.51
3/9/2021 16:00:00,36.77
3/10/2021 16:00:00,38.19
3/11/2021 16:00:00,41.81
3/12/2021 16:00:00,40.7
3/15/2021 16:00:00,43.1
3/16/2021 16:00:00,38.36
3/17/2021 16:00:00,43.18
3/18/2021 16:00:00,41.56
3/19/2021 16:00:00,43.05
3/22/2021 16:00:00,39.99
3/23/2021 16:00:00,38.04
3/24/2021 16:00:00,34.04
3/25/2021 16:00:00,34.2
3/26/2021 16:00:00,36.09
3/29/2021 16:00:00,38.13
3/30/2021 16:00:00,44.14
3/31/2021 16:00:00,48.02
4/1/2021 16:00:00,48.85
4/5/2021 16:00:00,56.56
4/6/2021 16:00:00,52.45
4/7/2021 16:00:00,46.26
4/8/2021 16:00:00,49.82
4/9/2021 16:00:00,49
4/12/2021 16:00:00,50.07
4/13/2021 16:00:00,51
4/14/2021 16:00:00,42.97
4/15/2021 16:00:00,42.14
4/16/2021 16:00:00,38.93
4/19/2021 16:00:00,35.55
4/20/2021 16:00:00,33.57
4/21/2021 16:00:00,34.93
4/22/2021 16:00:00,31.06
4/23/2021 16:00:00,32.3
4/26/2021 16:00:00,34.14
4/27/2021 16:00:00,34.12
4/28/2021 16:00:00,37.64
4/29/2021 16:00:00,34.26
4/30/2021 16:00:00,36.78
5/3/2021 16:00:00,36.22
5/4/2021 16:00:00,33.95
5/5/2021 16:00:00,33.55
5/6/2021 16:00:00,31.4
5/7/2021 16:00:00,31.33
5/10/2021 16:00:00,27.82
5/11/2021 16:00:00,25.95
5/12/2021 16:00:00,22.85
5/13/2021 16:00:00,19.66
5/14/2021 16:00:00,23.08
5/17/2021 16:00:00,22.36
5/18/2021 16:00:00,22.99
5/19/2021 16:00:00,21.71
5/20/2021 16:00:00,21.89
5/21/2021 16:00:00,20.89
5/24/2021 16:00:00,23.15
5/25/2021 16:00:00,22.62
5/26/2021 16:00:00,25.26
5/27/2021 16:00:00,25.84
5/28/2021 16:00:00,24.77
6/1/2021 16:00:00,25.2
6/2/2021 16:00:00,25.24
6/3/2021 16:00:00,23.79
6/4/2021 16:00:00,24.35
6/7/2021 16:00:00,24.39
6/8/2021 16:00:00,23.64
6/9/2021 16:00:00,26.14
6/10/2021 16:00:00,26.51
6/11/2021 16:00:00,26.55
6/14/2021 16:00:00,29.94
6/15/2021 16:00:00,30.67
6/16/2021 16:00:00,29.97
6/17/2021 16:00:00,30.06
6/18/2021 16:00:00,28.92
6/21/2021 16:00:00,27.83
6/22/2021 16:00:00,27.34
6/23/2021 16:00:00,27.61
6/24/2021 16:00:00,29.48
6/25/2021 16:00:00,28.19
6/28/2021 16:00:00,30.11
6/29/2021 16:00:00,31.89
6/30/2021 16:00:00,31.37
7/1/2021 16:00:00,30.69
7/2/2021 16:00:00,30.29
7/6/2021 16:00:00,29.72
7/7/2021 16:00:00,28.59
7/8/2021 16:00:00,27.79
7/9/2021 16:00:00,27.69
7/12/2021 16:00:00,27.37
7/13/2021 16:00:00,25.96
7/14/2021 16:00:00,24.64
7/15/2021 16:00:00,24.48
7/16/2021 16:00:00,23.33
7/19/2021 16:00:00,22.35
7/20/2021 16:00:00,22.63
7/21/2021 16:00:00,25.06
7/22/2021 16:00:00,25.26
7/23/2021 16:00:00,24.64
7/26/2021 16:00:00,29.58
7/27/2021 16:00:00,27.02
7/28/2021 16:00:00,28.16
7/29/2021 16:00:00,27.48
7/30/2021 16:00:00,27.63
8/2/2021 16:00:00,28.23
8/3/2021 16:00:00,27.13
8/4/2021 16:00:00,28.72
8/5/2021 16:00:00,31.47
8/6/2021 16:00:00,34.25
8/9/2021 16:00:00,35.98
8/10/2021 16:00:00,35.7
8/11/2021 16:00:00,35.18
8/12/2021 16:00:00,33.84
8/13/2021 16:00:00,32.88
8/16/2021 16:00:00,33.04
8/17/2021 16:00:00,30.65
8/18/2021 16:00:00,30.78
8/19/2021 16:00:00,31.81
8/20/2021 16:00:00,35.26
8/23/2021 16:00:00,36.76
8/24/2021 16:00:00,37.98
8/25/2021 16:00:00,38.33
8/26/2021 16:00:00,36.22
8/27/2021 16:00:00,40.2
8/30/2021 16:00:00,40.54
8/31/2021 16:00:00,40.59
9/1/2021 16:00:00,41.18
9/2/2021 16:00:00,42.2
9/3/2021 16:00:00,43.41
9/7/2021 16:00:00,39.39
9/8/2021 16:00:00,37.29
9/9/2021 16:00:00,38.89
9/10/2021 16:00:00,35.74
9/13/2021 16:00:00,35.59
9/14/2021 16:00:00,34.68
9/15/2021 16:00:00,37.05
9/16/2021 16:00:00,36.34
9/17/2021 16:00:00,35.84
9/20/2021 16:00:00,33.89
9/21/2021 16:00:00,33.24
9/22/2021 16:00:00,35.7
9/23/2021 16:00:00,37.7
9/24/2021 16:00:00,36.18
9/27/2021 16:00:00,35.17
9/28/2021 16:00:00,32.75
9/29/2021 16:00:00,30.61
9/30/2021 16:00:00,31.58
10/1/2021 16:00:00,33.17
10/4/2021 16:00:00,33.63
10/5/2021 16:00:00,37.19
10/6/2021 16:00:00,38.96
10/7/2021 16:00:00,38.42
10/8/2021 16:00:00,39.49
10/11/2021 16:00:00,42.96
10/12/2021 16:00:00,40.86
10/13/2021 16:00:00,43.79
10/14/2021 16:00:00,43.59
10/15/2021 16:00:00,48.89
10/18/2021 16:00:00,51.45
10/19/2021 16:00:00,53.91
10/20/2021 16:00:00,53.07
10/21/2021 16:00:00,50.91
10/22/2021 16:00:00,49.46
10/25/2021 16:00:00,54.69
10/26/2021 16:00:00,52.86
10/27/2021 16:00:00,50.04
10/28/2021 16:00:00,50.39
10/29/2021 16:00:00,52.24
11/1/2021 16:00:00,55.51
11/2/2021 16:00:00,63.34
11/3/2021 16:00:00,64.66
11/4/2021 16:00:00,64.29
11/5/2021 16:00:00,63.82
11/8/2021 16:00:00,75.3
11/9/2021 16:00:00,76.09
11/10/2021 16:00:00,64.84
11/11/2021 16:00:00,70.69
11/12/2021 16:00:00,75.92
11/15/2021 16:00:00,55.4
11/16/2021 16:00:00,55.37
11/17/2021 16:00:00,50.95
11/18/2021 16:00:00,51.46
11/19/2021 16:00:00,54.68
11/22/2021 16:00:00,49.57
11/23/2021 16:00:00,52.12
11/24/2021 16:00:00,52.39
11/26/2021 13:00:00,49.2
11/29/2021 16:00:00,51.39
11/30/2021 16:00:00,51.07
12/1/2021 16:00:00,50.79
12/2/2021 16:00:00,49.07
12/3/2021 16:00:00,41.64
12/6/2021 16:00:00,41.81
12/7/2021 16:00:00,45.7
12/8/2021 16:00:00,46.64
12/9/2021 16:00:00,41.37
12/10/2021 16:00:00,40.44
12/13/2021 16:00:00,36.84
12/14/2021 16:00:00,37.33
12/15/2021 16:00:00,38.73
12/16/2021 16:00:00,35.51
12/17/2021 16:00:00,33.85
12/20/2021 16:00:00,32.47
12/21/2021 16:00:00,34.43
12/22/2021 16:00:00,34.13
12/23/2021 16:00:00,38.13
12/27/2021 16:00:00,39.4
12/28/2021 16:00:00,35.14
12/29/2021 16:00:00,33.91
12/30/2021 16:00:00,34.39
12/31/2021 16:00:00,32.86
1/3/2022 16:00:00,32.89
1/4/2022 16:00:00,34.13
1/5/2022 16:00:00,29.62
1/6/2022 16:00:00,29.3
1/7/2022 16:00:00,28.49
1/10/2022 16:00:00,28.93
1/11/2022 16:00:00,29.58
1/12/2022 16:00:00,30.36
1/13/2022 16:00:00,28.1
1/14/2022 16:00:00,28.59
