Date,Close
1/4/2021 16:00:00,16.48
1/5/2021 16:00:00,18.41
1/6/2021 16:00:00,19.28
1/7/2021 16:00:00,22.72
1/8/2021 16:00:00,26.59
1/11/2021 16:00:00,22.64
1/12/2021 16:00:00,24.21
1/13/2021 16:00:00,23.88
1/14/2021 16:00:00,28.9
1/15/2021 16:00:00,25.78
1/19/2021 16:00:00,25.2
1/20/2021 16:00:00,22.28
1/21/2021 16:00:00,19.35
1/22/2021 16:00:00,20.97
1/25/2021 16:00:00,19.67
1/26/2021 16:00:00,19.32
1/27/2021 16:00:00,17.93
1/28/2021 16:00:00,19.93
1/29/2021 16:00:00,20.52
2/1/2021 16:00:00,19.98
2/2/2021 16:00:00,21.49
2/3/2021 16:00:00,22.85
2/4/2021 16:00:00,23.08
2/5/2021 16:00:00,23.38
2/8/2021 16:00:00,32.79
2/9/2021 16:00:00,39.86
2/10/2021 16:00:00,36.56
2/11/2021 16:00:00,43.09
2/12/2021 16:00:00,49.28
2/16/2021 16:00:00,59.5
2/17/2021 16:00:00,77.9
2/18/2021 16:00:00,62.03
2/19/2021 16:00:00,71.33
2/22/2021 16:00:00,64.76
2/23/2021 16:00:00,48.8
2/24/2021 16:00:00,52.27
2/25/2021 16:00:00,45.67
2/26/2021 16:00:00,43.74
3/1/2021 16:00:00,53.6
3/2/2021 16:00:00,49.1
3/3/2021 16:00:00,49.57
3/4/2021 16:00:00,44.29
3/5/2021 16:00:00,40.3
3/8/2021 16:00:00,38.98
3/9/2021 16:00:00,52.16
3/10/2021 16:00:00,56.5
3/11/2021 16:00:00,63.31
3/12/2021 16:00:00,62.81
3/15/2021 16:00:00,63.43
3/16/2021 16:00:00,56.98
3/17/2021 16:00:00,64.74
3/18/2021 16:00:00,60.19
3/19/2021 16:00:00,60.65
3/22/2021 16:00:00,56.01
3/23/2021 16:00:00,50.12
3/24/2021 16:00:00,45.71
3/25/2021 16:00:00,48.17
3/26/2021 16:00:00,48.22
3/29/2021 16:00:00,47.89
3/30/2021 16:00:00,51.51
3/31/2021 16:00:00,53.27
4/1/2021 16:00:00,52.03
4/5/2021 16:00:00,56.9
4/6/2021 16:00:00,54.1
4/7/2021 16:00:00,48.37
4/8/2021 16:00:00,49.55
4/9/2021 16:00:00,49.63
4/12/2021 16:00:00,51.53
4/13/2021 16:00:00,59.26
4/14/2021 16:00:00,50.16
4/15/2021 16:00:00,48.11
4/16/2021 16:00:00,44.64
4/19/2021 16:00:00,40.9
4/20/2021 16:00:00,38.56
4/21/2021 16:00:00,41.31
4/22/2021 16:00:00,36.49
4/23/2021 16:00:00,38.48
4/26/2021 16:00:00,40.89
4/27/2021 16:00:00,40.52
4/28/2021 16:00:00,43.93
4/29/2021 16:00:00,40.33
4/30/2021 16:00:00,41.83
5/3/2021 16:00:00,39.99
5/4/2021 16:00:00,37.57
5/5/2021 16:00:00,36.62
5/6/2021 16:00:00,33.45
5/7/2021 16:00:00,33.39
5/10/2021 16:00:00,29.95
5/11/2021 16:00:00,29.87
5/12/2021 16:00:00,26.52
5/13/2021 16:00:00,22.23
5/14/2021 16:00:00,26.02
5/17/2021 16:00:00,24.31
5/18/2021 16:00:00,25.56
5/19/2021 16:00:00,24.14
5/20/2021 16:00:00,24.18
5/21/2021 16:00:00,22.84
5/24/2021 16:00:00,25.95
5/25/2021 16:00:00,25.14
5/26/2021 16:00:00,27.64
5/27/2021 16:00:00,28.5
5/28/2021 16:00:00,27.13
6/1/2021 16:00:00,29.23
6/2/2021 16:00:00,30.03
6/3/2021 16:00:00,28.28
6/4/2021 16:00:00,29.15
6/7/2021 16:00:00,28.82
6/8/2021 16:00:00,28.06
6/9/2021 16:00:00,31.41
6/10/2021 16:00:00,31.64
6/11/2021 16:00:00,31.03
6/14/2021 16:00:00,35.4
6/15/2021 16:00:00,35.06
6/16/2021 16:00:00,34.2
6/17/2021 16:00:00,34.3
6/18/2021 16:00:00,32.18
6/21/2021 16:00:00,31.57
6/22/2021 16:00:00,32.23
6/23/2021 16:00:00,32.48
6/24/2021 16:00:00,34.02
6/25/2021 16:00:00,32.97
6/28/2021 16:00:00,36.18
6/29/2021 16:00:00,37.81
6/30/2021 16:00:00,37.67
7/1/2021 16:00:00,36.21
7/2/2021 16:00:00,36.23
7/6/2021 16:00:00,35.43
7/7/2021 16:00:00,35.44
7/8/2021 16:00:00,33.72
7/9/2021 16:00:00,32.83
7/12/2021 16:00:00,31.4
7/13/2021 16:00:00,30.06
7/14/2021 16:00:00,28.59
7/15/2021 16:00:00,28.22
7/16/2021 16:00:00,27.28
7/19/2021 16:00:00,25.96
7/20/2021 16:00:00,25.85
7/21/2021 16:00:00,29.16
7/22/2021 16:00:00,28.87
7/23/2021 16:00:00,28.1
7/26/2021 16:00:00,34
7/27/2021 16:00:00,31.64
7/28/2021 16:00:00,32.96
7/29/2021 16:00:00,31.9
7/30/2021 16:00:00,32.95
8/2/2021 16:00:00,33.45
8/3/2021 16:00:00,31.48
8/4/2021 16:00:00,32.71
8/5/2021 16:00:00,33.59
8/6/2021 16:00:00,34.97
8/9/2021 16:00:00,37.83
8/10/2021 16:00:00,38.49
8/11/2021 16:00:00,37.76
8/12/2021 16:00:00,36.83
8/13/2021 16:00:00,35.81
8/16/2021 16:00:00,35.83
8/17/2021 16:00:00,32.76
8/18/2021 16:00:00,31.89
8/19/2021 16:00:00,32.08
8/20/2021 16:00:00,34.33
8/23/2021 16:00:00,35.73
8/24/2021 16:00:00,37.63
8/25/2021 16:00:00,37.72
8/26/2021 16:00:00,36.28
8/27/2021 16:00:00,38.57
8/30/2021 16:00:00,37.7
8/31/2021 16:00:00,37.32
9/1/2021 16:00:00,36.5
9/2/2021 16:00:00,35.96
9/3/2021 16:00:00,34.43
9/7/2021 16:00:00,32.11
9/8/2021 16:00:00,30.39
9/9/2021 16:00:00,31.35
9/10/2021 16:00:00,29.62
9/13/2021 16:00:00,29.3
9/14/2021 16:00:00,28.84
9/15/2021 16:00:00,30.33
9/16/2021 16:00:00,29.37
9/17/2021 16:00:00,29.3
9/20/2021 16:00:00,27.53
9/21/2021 16:00:00,27.36
9/22/2021 16:00:00,28.73
9/23/2021 16:00:00,29.39
9/24/2021 16:00:00,27.93
9/27/2021 16:00:00,27.77
9/28/2021 16:00:00,25.78
9/29/2021 16:00:00,24.87
9/30/2021 16:00:00,25.7
10/1/2021 16:00:00,26.1
10/4/2021 16:00:00,25.25
10/5/2021 16:00:00,26.34
10/6/2021 16:00:00,26.61
10/7/2021 16:00:00,26.12
10/8/2021 16:00:00,25.83
10/11/2021 16:00:00,27.63
10/12/2021 16:00:00,25.51
10/13/2021 16:00:00,25.64
10/14/2021 16:00:00,26.12
10/15/2021 16:00:00,27.85
10/18/2021 16:00:00,29.8
10/19/2021 16:00:00,30.83
10/20/2021 16:00:00,31.44
10/21/2021 16:00:00,29.44
10/22/2021 16:00:00,28.28
10/25/2021 16:00:00,29.59
10/26/2021 16:00:00,28.44
10/27/2021 16:00:00,26.59
10/28/2021 16:00:00,27.54
10/29/2021 16:00:00,27.22
11/1/2021 16:00:00,28.09
11/2/2021 16:00:00,31.9
11/3/2021 16:00:00,32.76
11/4/2021 16:00:00,32.72
